sample_ID	env_medium	filename_1	filename_2	title
X12N11WD0	feces	X12N11WD0_R1.fq.gz	X12N11WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N26WD0	feces	X12N26WD0_R1.fq.gz	X12N26WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N31WD0	feces	X12N31WD0_R1.fq.gz	X12N31WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N36WD0	feces	X12N36WD0_R1.fq.gz	X12N36WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N43WD0	feces	X12N43WD0_R1.fq.gz	X12N43WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N6WD0	feces	X12N6WD0_R1.fq.gz	X12N6WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N70WD0	feces	X12N70WD0_R1.fq.gz	X12N70WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N73WD0	feces	X12N73WD0_R1.fq.gz	X12N73WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N76WD0	feces	X12N76WD0_R1.fq.gz	X12N76WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N86WD0	feces	X12N86WD0_R1.fq.gz	X12N86WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N29WD0	feces	X12N29WD0_R1.fq.gz	X12N29WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N2WD0	feces	X12N2WD0_R1.fq.gz	X12N2WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N46WD0	feces	X12N46WD0_R1.fq.gz	X12N46WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N48WD0	feces	X12N48WD0_R1.fq.gz	X12N48WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N51WD0	feces	X12N51WD0_R1.fq.gz	X12N51WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N93WD0	feces	X12N93WD0_R1.fq.gz	X12N93WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N16WD0	feces	X12N16WD0_R1.fq.gz	X12N16WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N18WD0	feces	X12N18WD0_R1.fq.gz	X12N18WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N25WD0	feces	X12N25WD0_R1.fq.gz	X12N25WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N32WD0	feces	X12N32WD0_R1.fq.gz	X12N32WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N39WD0	feces	X12N39WD0_R1.fq.gz	X12N39WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N45WD0	feces	X12N45WD0_R1.fq.gz	X12N45WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N68WD0	feces	X12N68WD0_R1.fq.gz	X12N68WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N69WD0	feces	X12N69WD0_R1.fq.gz	X12N69WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N84WD0	feces	X12N84WD0_R1.fq.gz	X12N84WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N92WD0	feces	X12N92WD0_R1.fq.gz	X12N92WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N22WD0	feces	X12N22WD0_R1.fq.gz	X12N22WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N41WD0	feces	X12N41WD0_R1.fq.gz	X12N41WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N50WD0	feces	X12N50WD0_R1.fq.gz	X12N50WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N55WD0	feces	X12N55WD0_R1.fq.gz	X12N55WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N56WD0	feces	X12N56WD0_R1.fq.gz	X12N56WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N60WD0	feces	X12N60WD0_R1.fq.gz	X12N60WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N67WD0	feces	X12N67WD0_R1.fq.gz	X12N67WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N74WD0	feces	X12N74WD0_R1.fq.gz	X12N74WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N77WD0	feces	X12N77WD0_R1.fq.gz	X12N77WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N77WD0dup	feces	X12N77WD0dup_R1.fq.gz	X12N77WD0dup_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N96WD0	feces	X12N96WD0_R1.fq.gz	X12N96WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N12WD0	feces	X12N12WD0_R1.fq.gz	X12N12WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N33WD0	feces	X12N33WD0_R1.fq.gz	X12N33WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N34WD0	feces	X12N34WD0_R1.fq.gz	X12N34WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N38WD0	feces	X12N38WD0_R1.fq.gz	X12N38WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N42WD0	feces	X12N42WD0_R1.fq.gz	X12N42WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N4WD0	feces	X12N4WD0_R1.fq.gz	X12N4WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N58WD0	feces	X12N58WD0_R1.fq.gz	X12N58WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N62WD0	feces	X12N62WD0_R1.fq.gz	X12N62WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
X12N64WD0	feces	X12N64WD0_R1.fq.gz	X12N64WD0_R2.fq.gz	16S rRNA gene amplicon sequencing of Sus Scrofa gut derived metagenome: feces
