pignum,sample_ID,Gender,weight_9_12,weight_10_9,weight,AULC,experiment,day,tissue,num_seqs,treatment,set,log_sal,nurse_gain,pen,pig_day_tissue,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,lactate
101,X12bP101D0F,M,7.95,11.35,NA,NA,X12b,D0,F,22109,RPS,X12b_D0_F_RPS,0,3.3999999999999995,21,101_D0_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,X12bP101D0Q,M,7.95,11.35,NA,NA,X12b,D0,Q,12892,RPS,X12b_D0_Q_RPS,0,3.3999999999999995,21,101_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,X12bP101D14F,M,7.95,11.35,NA,NA,X12b,D14,F,29467,RPS,X12b_D14_F_RPS,5.93196611472817,3.3999999999999995,21,101_D14_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,X12bP101D2F,M,7.95,11.35,NA,NA,X12b,D2,F,25877,RPS,X12b_D2_F_RPS,3.51851393987789,3.3999999999999995,21,101_D2_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,X12bP101D7F,M,7.95,11.35,NA,NA,X12b,D7,F,23934,RPS,X12b_D7_F_RPS,4.74429298312268,3.3999999999999995,21,101_D7_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,X12bP119D0F,M,7.15,15.6,NA,33.9794000867204,X12b,D0,F,28301,RCS,X12b_D0_F_RCS,0,8.45,24,119_D0_F,52.84725,18.35142,2.7879899999999997,12.264690000000002,3.5187,3.9702900000000003,1.4398900000000001,0,0.97611,0.44139000000000006,0.70773
119,X12bP119D0Q,M,7.15,15.6,NA,33.9794000867204,X12b,D0,Q,23860,RCS,X12b_D0_Q_RCS,0,8.45,24,119_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,X12bP119D14F,M,7.15,15.6,NA,33.9794000867204,X12b,D14,F,20183,RCS,X12b_D14_F_RCS,1.69897000433602,8.45,24,119_D14_F,104.34951000000001,36.99522,4.1148299999999995,22.583009999999998,6.033810000000001,6.63855,2.22775,0,1.6281599999999998,1.60812,1.59507
119,X12bP119D21C,M,7.15,15.6,NA,33.9794000867204,X12b,D21,C,28966,RCS,X12b_D21_C_RCS,2.25527250510331,8.45,24,119_D21_C,88.49748,35.78328,0.70119,13.9092,0.56184,3.5133900000000002,1.6031399999999998,0.42152999999999996,0.16877999999999999,0.44754000000000005,1.7759399999999999
119,X12bP119D21F,M,7.15,15.6,NA,33.9794000867204,X12b,D21,F,31066,RCS,X12b_D21_F_RCS,1.69897000433602,8.45,24,119_D21_F,85.34718,34.17465,3.76344,15.969269999999998,5.03433,4.577310000000001,1.6068699999999998,0,1.35669,1.13181,9.350249999999999
119,X12bP119D2F,M,7.15,15.6,NA,33.9794000867204,X12b,D2,F,22096,RCS,X12b_D2_F_RCS,1.69897000433602,8.45,24,119_D2_F,71.03415000000001,30.786990000000003,3.1540800000000004,18.19272,4.5883199999999995,9.020430000000001,3.72598,0.27632999999999996,1.43229,0.98898,1.89522
119,X12bP119D7F,M,7.15,15.6,NA,33.9794000867204,X12b,D7,F,19227,RCS,X12b_D7_F_RCS,1.69897000433602,8.45,24,119_D7_F,88.43937000000001,29.055570000000003,4.76046,17.86803,7.228829999999999,6.9232499999999995,2.47837,0,1.8328200000000001,1.72614,6.9396
