ID,CD45+CD3-CD4+CD8a-CD25+FoxP3-,CD45+CD3-CD4+CD8a-CD25+FoxP3+,CD45+CD3-CD4+CD8a-CD25-FoxP3+,CD45+CD3-CD4+CD8a-CD25-FoxP3-,CD45+CD3-CD4+CD8a+CD25+FoxP3-,CD45+CD3-CD4+CD8a+CD25+FoxP3+,CD45+CD3-CD4+CD8a+CD25-FoxP3+,CD45+CD3-CD4+CD8a+CD25-FoxP3-,CD45+CD3-CD4-CD8a+CD25+FoxP3-,CD45+CD3-CD4-CD8a+CD25+FoxP3+,CD45+CD3-CD4-CD8a+CD25-FoxP3+,CD45+CD3-CD4-CD8a+CD25-FoxP3-,CD45+CD3-CD4-CD8a-CD25+FoxP3-,CD45+CD3-CD4-CD8a-CD25+FoxP3+,CD45+CD3-CD4-CD8a-CD25-FoxP3+,CD45+CD3-CD4-CD8a-CD25-FoxP3-,CD45+CD3+CD4-CD8a+CD25-FoxP3+,CD45+CD3+CD4-CD8a+CD25+FoxP3+,CD45+CD3+CD4-CD8a+CD25+FoxP3-,CD45+CD3+CD4-CD8a+CD25-FoxP3-,CD45+CD3+CD4+CD8a+CD25-FoxP3+,CD45+CD3+CD4+CD8a+CD25+FoxP3+,CD45+CD3+CD4+CD8a+CD25+FoxP3-,CD45+CD3+CD4+CD8a+CD25-FoxP3-,CD45+CD3+CD4+CD8a-CD25-FoxP3+,CD45+CD3+CD4+CD8a-CD25+FoxP3+,CD45+CD3+CD4+CD8a-CD25+FoxP3-,CD45+CD3+CD4+CD8a-CD25-FoxP3-,CD45+CD3+CD4-CD8a-CD25-FoxP3+,CD45+CD3+CD4-CD8a-CD25+FoxP3+,CD45+CD3+CD4-CD8a-CD25+FoxP3-,CD45+CD3+CD4-CD8a-CD25-FoxP3-
2-10,0,0,6,86,0,0,1,1,30,1,4,1017,348,9,500,5596,119,9,501,23899,108,50,53,1078,371,157,267,4455,151,33,810,5458
5-9,5,0,10,78,0,0,1,5,43,0,6,676,357,11,340,8222,162,12,296,24612,106,172,140,1471,292,479,522,3374,99,21,428,3063
6-6,0,0,4,35,0,0,1,0,7,1,4,211,207,18,333,13167,232,61,399,24390,120,151,114,1547,454,599,425,8865,109,68,567,3194
7-2,2,0,11,99,0,0,4,20,77,1,30,1270,555,16,807,3280,256,13,723,35809,722,912,677,5060,318,321,546,2593,72,22,840,2604
9-9,1,0,6,117,0,0,0,10,86,1,8,960,510,7,360,7827,494,34,994,52173,222,375,343,2972,414,372,606,6781,224,75,875,7573
10-3,2,0,16,296,1,0,0,19,62,0,10,1071,491,9,392,13256,362,13,764,55667,1099,769,312,6392,861,691,872,7714,109,22,1152,5463
11-6,2,0,2,43,0,0,0,1,32,1,7,428,146,0,210,3561,225,21,794,40299,365,337,166,1773,975,714,837,7763,123,44,581,3828
13-9,2,0,9,123,0,0,1,6,24,0,11,983,205,5,341,5148,373,7,508,40232,404,241,87,1692,1433,402,423,9030,588,48,528,8124
14-2,4,1,13,73,0,0,3,18,49,1,41,1028,376,9,1131,7136,492,57,893,41612,560,336,261,4498,421,269,557,3765,261,72,647,4602
15-8,1,0,3,107,1,0,0,12,55,0,15,2063,233,1,384,3076,234,9,809,52832,252,299,249,4256,305,212,467,7028,115,21,1452,6948
16-1,3,0,3,119,0,1,0,13,58,0,5,2011,509,0,213,22057,370,181,1169,64258,491,631,200,4280,805,1046,574,11149,171,76,991,8210
17-8,1,0,4,67,0,0,1,5,118,0,3,1274,243,0,181,2760,93,13,1194,41608,83,162,214,1626,119,168,396,2035,60,17,1527,7390
