ID,CD45+CD3-CD4+CD8a-CD25+FoxP3-,CD45+CD3-CD4+CD8a-CD25+FoxP3+,CD45+CD3-CD4+CD8a-CD25-FoxP3+,CD45+CD3-CD4+CD8a-CD25-FoxP3-,CD45+CD3-CD4+CD8a+CD25+FoxP3-,CD45+CD3-CD4+CD8a+CD25+FoxP3+,CD45+CD3-CD4+CD8a+CD25-FoxP3+,CD45+CD3-CD4+CD8a+CD25-FoxP3-,CD45+CD3-CD4-CD8a+CD25+FoxP3-,CD45+CD3-CD4-CD8a+CD25+FoxP3+,CD45+CD3-CD4-CD8a+CD25-FoxP3+,CD45+CD3-CD4-CD8a+CD25-FoxP3-,CD45+CD3-CD4-CD8a-CD25+FoxP3-,CD45+CD3-CD4-CD8a-CD25+FoxP3+,CD45+CD3-CD4-CD8a-CD25-FoxP3+,CD45+CD3-CD4-CD8a-CD25-FoxP3-,CD45+CD3+CD4+CD8a-CD25+FoxP3-,CD45+CD3+CD4+CD8a-CD25+FoxP3+,CD45+CD3+CD4+CD8a-CD25-FoxP3+,CD45+CD3+CD4+CD8a-CD25-FoxP3-,CD45+CD3+CD4+CD8a+CD25+FoxP3-,CD45+CD3+CD4+CD8a+CD25+FoxP3+,CD45+CD3+CD4+CD8a+CD25-FoxP3+,CD45+CD3+CD4+CD8a+CD25-FoxP3-,CD45+CD3+CD4-CD8a+CD25+FoxP3-,CD45+CD3+CD4-CD8a+CD25+FoxP3+,CD45+CD3+CD4-CD8a+CD25-FoxP3+,CD45+CD3+CD4-CD8a+CD25-FoxP3-,CD45+CD3+CD4-CD8a-CD25+FoxP3-,CD45+CD3+CD4-CD8a-CD25+FoxP3+,CD45+CD3+CD4-CD8a-CD25-FoxP3+,CD45+CD3+CD4-CD8a-CD25-FoxP3-
35-9,1,4,39,248,0,0,1,13,24,4,220,877,527,42,1073,4421,781,332,559,9084,164,162,181,2349,431,30,3807,26956,525,17,366,5021
40-9,13,2,37,351,0,1,2,32,110,10,86,2256,1407,55,1240,17682,740,453,527,8218,252,306,361,4864,426,17,723,29213,358,9,115,2883
43-6,4,1,37,123,0,0,4,16,56,2,83,1249,428,20,771,7166,393,340,385,3501,92,166,217,1879,339,8,1884,31431,509,13,216,3856
45-1,0,0,18,230,0,0,0,16,59,1,73,1514,398,14,722,6679,592,242,848,8550,133,311,591,2897,373,16,955,34455,357,13,221,3258
48-10,0,1,2,42,0,0,0,0,4,0,8,187,210,7,505,5440,1733,223,422,4184,267,23,45,611,8130,16,126,29439,5341,162,447,9056
49-3,8,3,25,302,0,0,1,9,88,2,82,1249,1430,16,1420,22333,1163,728,1464,16161,173,230,406,3505,1446,41,1008,55108,1522,48,333,11613
51-10,2,0,33,80,0,0,16,31,34,5,100,567,189,0,364,6325,351,253,376,2662,173,221,405,3195,189,15,3265,14799,167,14,211,1472
57-2,7,0,8,69,1,0,0,6,86,0,54,1693,424,4,928,6684,438,250,220,3780,64,91,67,1675,1008,13,823,34962,848,23,212,4276
63-2,4,0,9,84,0,0,1,7,16,0,19,680,259,7,403,2449,679,293,222,4396,54,142,129,1481,526,5,223,35853,598,13,84,4089
65-3,8,0,39,330,0,0,3,39,126,0,31,3128,1222,13,6983,14954,791,189,144,4540,281,243,195,3809,653,10,62,18673,1105,27,181,3679
66-8,4,1,4,87,0,0,0,8,12,0,13,1486,281,2,437,3241,528,192,181,2858,204,220,240,2150,529,9,195,38502,511,7,75,4261
68-1,1,0,0,2,0,0,0,1,1,0,2,19,30,0,43,418,673,71,18,256,32,12,4,57,454,1,4,670,985,29,41,669
69-1,1,0,10,99,0,0,3,14,32,1,14,645,184,6,529,4603,422,201,524,6494,167,149,267,2233,1748,17,382,32504,1058,25,182,5299
70-6 LPC,1,0,14,93,1,0,0,7,21,0,26,967,291,5,566,14756,1062,804,284,10580,386,407,274,2379,2373,130,304,23540,2357,126,182,5864
71-3 IEC,0,0,1,3,0,0,0,0,0,0,13,86,0,3,56,71,6,3,3,55,7,0,3,46,36,2,118,879,12,0,14,62
72-2,7,1,6,296,2,0,1,42,89,0,17,2509,372,3,1322,7972,445,216,236,5139,223,265,360,4024,1670,15,164,54275,949,11,110,6378
73-6,6,1,6,107,0,0,1,9,69,1,37,2083,510,7,423,11762,620,343,388,5042,165,158,205,1832,1567,12,223,34276,1093,37,171,3855
75-3,4,0,8,156,1,0,3,12,299,3,15,2003,1084,12,792,8370,1397,608,523,5309,549,574,474,4488,968,7,150,32907,625,10,114,3549
76-6,40,1,24,825,3,0,4,101,406,3,86,8471,2572,18,914,38936,3432,2228,1169,27967,2275,3108,1179,19196,2808,121,480,126431,1572,83,293,15819
79-3,1,2,7,99,0,1,1,8,54,1,14,1189,1122,6,649,17140,549,472,348,5766,165,287,241,2290,524,7,151,33664,1157,24,109,4261
80-9,5,1,3,138,0,0,0,3,19,0,2,366,499,4,500,11000,857,416,535,7869,72,93,126,1736,1319,6,81,28063,2028,42,180,7354
83-2,3,0,1,151,0,0,0,8,13,0,11,1169,192,2,503,4941,373,58,133,4884,110,81,149,2091,1095,14,88,38414,551,15,71,3098
84-1,11,0,9,190,0,0,1,24,24,0,2,739,287,3,236,7258,644,357,291,5168,145,203,177,2044,1360,9,35,39875,1029,39,107,4036
85-8,4,1,4,146,2,0,3,26,96,2,17,1202,196,6,1274,4888,581,224,187,4241,216,413,233,3081,1099,25,78,36344,713,47,216,4616
86-6,2,0,19,169,0,0,2,8,12,0,19,664,167,3,366,5393,279,159,147,3311,95,95,70,1152,947,8,138,36097,871,15,133,4418
87-8,14,2,10,194,0,1,2,11,37,0,16,1192,520,5,558,6980,956,258,215,3538,138,251,146,1177,1047,16,202,31167,2444,44,122,6588
89-2,5,0,10,159,0,0,1,10,57,1,6,924,387,6,637,6505,570,220,277,4918,107,130,128,1748,2325,9,149,60709,2628,31,184,8453
90-8,5,0,7,128,0,0,0,14,21,0,12,1887,315,3,950,7675,474,220,327,5399,165,299,360,2651,555,21,61,37777,1259,30,125,6005
