pen,timepoint,treatment,group,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,total,lactate
2,24,10,2_24,120.21483,86.12535,2.88027,88.1937,5.57202,36.22365,3.89541,0,0.9284399999999999,1.80138,465.83505,0
5,24,9,5_24,147.87195,109.17954,2.4171,82.71273000000001,4.45383,38.77053,5.439780000000001,0,0.94434,1.02855,512.81835,0
6,24,6,6_24,145.74933,92.75688,1.49754,54.57204,2.3963099999999997,15.59193,0.9174,0,0.5616,1.15407,435.1971,0
7,24,2,7_24,130.59231,82.78896,1.8957600000000001,60.41937,3.26313,14.781209999999998,1.33944,0,0.73695,1.27218,417.08931,0
9,24,9,9_24,81.76650000000001,69.86313,1.1583,139.57644,2.11929,58.42802999999999,3.72336,0,0.37703999999999993,0.82056,479.08794,0
10,24,3,10_24,127.54670999999999,96.28451999999999,2.75781,60.52422,4.1286000000000005,18.864449999999998,4.16172,0,0.9865200000000001,0.74808,436.00262999999995,0
11,24,6,11_24,119.40261000000001,103.43522999999999,2.04054,45.6297,3.27672,16.8918,1.42107,0,0.8007599999999999,0.56508,413.46351,0
13,24,9,13_24,124.02354,114.37950000000001,2.93487,83.73639,5.36538,43.78374,12.43398,0,1.40244,1.57539,510.89082,0
14,24,2,14_24,132.21039,91.54503,1.61871,55.699619999999996,2.82942,17.71071,1.56411,0,0.52584,1.22538,424.92920999999996,0
15,24,8,15_24,132.54651,99.71952,2.6533800000000003,85.77642,4.33797,21.833940000000002,1.58343,0.30813,0.84999,12.81843,482.42772,0
16,24,1,16_24,153.33897000000002,94.02377999999999,1.87785,68.10576,2.93706,25.578449999999997,1.76031,0,0.59364,0.81978,469.20828,0
17,24,8,17_24,107.3619,52.22766,0.34785,43.32495,1.17684,6.50907,1.25826,0,0.5705399999999999,0.69306,333.47013,0
18,24,1,18_24,138.333,103.92054,2.00388,51.42833999999999,3.6267000000000005,21.58551,1.77474,0,0.7739099999999999,0.8830199999999999,444.32964,0
19,24,3,19_24,143.3706,122.2707,2.06652,61.64169,3.52302,38.329139999999995,1.7607300000000001,0,0.5199,1.5768300000000002,495.05913,0
20,24,3,20_24,136.1535,100.08179999999999,2.0301,69.37638,3.2248200000000002,27.071730000000002,1.9705500000000002,0,0.54075,0.30267,460.7523,0
21,24,3,21_24,135.5664,136.73163,3.6557700000000004,44.0865,6.84369,33.21531,1.8307499999999999,0,0.92169,0.27449999999999997,483.12624,0
23,24,2,23_24,115.88469,101.24787,2.03316,42.399150000000006,3.68331,18.74937,1.83483,0,0.68484,1.20066,407.71788000000004,0
