pignum,time,treatment,set,formate,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,fumarate,lactate,total
87,0,control,0_control,1.85541,59.27691,21.771810000000002,4.09173,12.9651,4.97448,3.1344600000000002,0.15127000000000007,0,1.35216,1.14276,0.26508,1.91457,112.89574
122,0,control,0_control,0,64.0605,28.593239999999998,4.84779,26.70801,7.105409999999999,10.74273,1.43647,0,1.73835,1.5168599999999999,0.20171999999999998,0.6114299999999999,147.56251
160,0,control,0_control,1.45851,37.47024,16.75104,2.68188,5.92302,3.19953,1.8971400000000003,0.4622199999999999,0,0.87564,0.9036299999999999,0.18764999999999998,0.54354,72.35404
191,0,control,0_control,1.5087899999999999,48.32964,19.58148,2.90241,10.50876,3.80511,3.6742800000000004,0.94567,0,1.1219100000000002,0.9856800000000001,0.2367,0.30413999999999997,93.90456999999999
224,0,control,0_control,1.5958199999999998,50.42892,17.32578,3.3599099999999997,9.79686,4.4559299999999995,2.56527,0.07831000000000005,0,1.18875,0.87807,0.2511,0.7644299999999999,92.68915
337,0,control,0_control,1.25358,45.40155,16.659509999999997,3.2990399999999998,8.64873,4.73832,3.74991,1.00441,0,1.4476499999999999,1.18371,0.21459,1.2501,88.8511
419,0,control,0_control,3.0429899999999996,49.14537000000001,16.936889999999998,2.54418,6.651060000000001,2.5581,2.07903,0.3632800000000001,0,0.73575,0.60453,0.43743,0.9279599999999999,86.02657
458,0,control,0_control,1.5273299999999999,64.48245000000001,21.20103,3.6736500000000003,11.88396,4.64823,2.7858300000000003,0.7175499999999999,0,1.15116,0.9757499999999999,0.19161,0.61485,113.85340000000001
93,0,RPS,0_RPS,1.41807,81.59778000000001,41.492940000000004,3.7191,27.82935,4.40745,8.90157,1.04818,0,1.00851,1.6047599999999997,0.28833,1.49484,174.81088000000003
97,0,RPS,0_RPS,1.47969,94.19007,44.5833,6.258419999999999,26.278800000000004,9.78378,14.698229999999999,4.3381300000000005,0,2.22684,1.1144100000000001,0.31827,0,205.26994000000002
181,0,RPS,0_RPS,1.7860800000000001,68.63931000000001,30.250950000000003,3.05973,14.2548,3.46617,5.4558,1.42057,0,0.8936999999999999,0.534,0.29169,1.63167,131.68447
244,0,RPS,0_RPS,1.77219,66.01962,26.06247,3.3994500000000003,8.638169999999999,3.9457199999999997,4.46286,0.8831799999999999,0.31389,1.02864,1.9846499999999998,0.35928000000000004,0.6433800000000001,119.51350000000001
321,0,RPS,0_RPS,1.95831,69.12267000000001,32.02302,4.23348,13.009739999999999,5.28972,6.51684,1.45099,0,1.32432,1.45923,0.28896,0.71676,137.39404000000002
355,0,RPS,0_RPS,1.9514399999999998,62.620529999999995,18.802500000000002,3.8497199999999996,10.92273,4.24266,2.72049,0.5511699999999999,0,1.17489,0.6785100000000001,0.27576,1.2920099999999999,109.08241
373,0,RPS,0_RPS,1.87113,84.33,35.97822,2.46441,18.67623,2.24979,7.72473,2.1835,0,0.63594,1.17978,0.23981999999999998,0.58488,158.11843
392,0,RPS,0_RPS,2.32188,69.74046,25.67508,2.46528,10.557269999999999,2.64822,3.75042,0.7197100000000001,0,0.7263900000000001,1.0583099999999999,0.23826000000000003,0.5568,120.45808
26,0,Acid,0_Acid,2.1939599999999997,65.23668,23.71512,2.89116,17.93949,2.667,2.35815,0.44259999999999994,0,0.7742100000000001,0.50796,0.2604,1.2000899999999999,120.18682000000001
52,0,Acid,0_Acid,1.9850999999999999,71.7381,28.931369999999998,1.9880999999999998,11.3373,1.82877,4.05834,0.13786000000000004,0,0.43920000000000003,1.41522,0,1.1695799999999998,125.02894
152,0,Acid,0_Acid,0,71.83494,29.862120000000004,3.0429600000000003,11.00934,2.69358,2.20002,0.0023800000000000487,0,0.73995,0.82164,0.21732,1.53147,123.95572000000001
178,0,Acid,0_Acid,1.62447,46.03404,17.20512,2.97936,7.8073500000000005,3.2469900000000003,2.7879899999999997,0.43633000000000005,0,0.89124,0.48978,0.20766,0.61497,84.3253
