pignum,treatment,day,tissue,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,lactate,total,P_treatment,P_acetate,P_propionate,P_isobutyrate,P_butyrate,P_isovalerate,P_valerate,P_caproate,P_oxalate,P_phenylacetate,P_succinate,P_lactate,P_total
22,RCS,21,cecal_contents,76.26456,35.884769999999996,0.24042000000000002,31.682850000000002,0,9.448139999999999,0.76296,0.23922000000000002,0.25524,0.90819,12.164670000000001,167.85102,RCS,123.43272000000002,91.30437,1.8225000000000002,78.07905,3.1888799999999997,33.633,2.57952,0,0.28569,0.61746,0,334.94319
26,Acid,21,cecal_contents,91.33215,48.36816,0.6229199999999999,20.72565,0.5410200000000001,3.0130500000000002,0.43809,0.22098,0.2676,0.8005200000000001,0.9888899999999999,167.31903,Acid,145.26201,100.70886,2.75532,74.35905,4.85901,23.27142,1.34673,0,0.49629,10.97091,0,364.02959999999996
43,RCS,21,cecal_contents,85.84647000000001,40.82817,0.46797,24.39369,0.46554000000000006,5.11386,0.8884799999999999,0.26706,0.14478,0.777,0.7621800000000001,159.95520000000002,RCS,149.47431,112.34846999999999,2.31921,71.92698,3.67026,28.313129999999997,4.45899,0,0.50295,2.06793,0,375.08223
50,RPS,21,cecal_contents,95.56272,60.821940000000005,0.65292,22.17693,0.57312,4.5033,0.48774,0,0.16254,0.59826,0.34782,185.88729,RPS,125.83596,90.94395,3.9440999999999997,78.26091,7.11642,38.64621,2.40105,0,0.52416,1.55655,0,349.22931000000005
52,Acid,21,cecal_contents,76.16973,41.083980000000004,0.41148,15.002580000000002,0.39381,2.77431,0.55824,0.66351,0.16353,0.43065000000000003,1.6598100000000002,139.31163,Acid,169.00194,121.79420999999999,2.29698,82.88685,4.06803,28.64946,1.8165,0,0.51645,1.26417,0,412.29459
65,RCS,21,cecal_contents,96.47352000000001,45.16419,0.36537,20.75727,0.33282,3.77064,0.46563,0.28641,0.13818,0.5236799999999999,0.70029,168.978,RCS,149.1276,90.73806,1.75128,75.61731,3.13431,27.316919999999996,1.5915899999999998,0,0.43146,7.976789999999999,0.37272,358.05804
77,control,21,cecal_contents,74.00082,40.39434,0.27087,16.999290000000002,0.40179,2.9179500000000003,0.36828,0.19980000000000003,0.16101000000000001,0.60624,0,136.32038999999997,control,124.1532,93.50403,2.29413,56.466539999999995,3.7460999999999998,18.379830000000002,1.47888,0,0.74367,1.81128,0,302.57766
87,control,21,cecal_contents,73.33353,46.73304,0.5487,15.7971,0.64026,2.6298000000000004,0.53427,0.52488,0.15173999999999999,0.64269,1.10211,142.63812000000001,control,135.57399,109.89477000000001,2.69301,53.28668999999999,4.43529,19.49682,1.73544,0.22392,0.7636499999999999,1.86849,0,329.97207000000003
93,RPS,21,cecal_contents,82.79301000000001,41.818169999999995,0.39537,39.0219,0.402,13.719420000000001,1.48362,0.20391,0.15272999999999998,0.71592,0,180.70605,RPS,151.77822,116.41982999999999,2.13423,74.35302,4.0419,36.33963,6.37605,0,0.39267,1.21035,0,393.04589999999996
97,RPS,21,cecal_contents,88.69179,63.298950000000005,0.73044,35.476020000000005,0.7251,22.79493,2.31318,0.39747,0.21444000000000002,0.80487,0.9199200000000001,216.36711000000003,RPS,81.77109,53.22978,0.69804,44.45274,1.17912,25.21422,2.70669,0,0.15378,0.8908499999999999,0,210.29631
119,RCS,21,cecal_contents,88.49748,35.78328,0.70119,13.9092,0.56184,3.5133900000000002,1.6031399999999998,0.42152999999999996,0.16877999999999999,0.44754000000000005,1.7759399999999999,147.38331,RCS,167.01246,89.58333,1.8296999999999999,61.48608,3.5086500000000003,19.43166,3.8626199999999997,0.33996000000000004,0.9192600000000001,13.498980000000001,0,361.4727
122,control,21,cecal_contents,67.23129,39.60642,0.63699,13.17492,0.74049,2.65854,0.41490000000000005,0.2352,0.19542,0.32214,1.62498,126.84129000000001,control,126.0831,94.04862,2.4081900000000003,54.43785,3.9954,17.46762,1.02516,0,0.7566900000000001,1.9299,0,302.15253
126,Acid,21,cecal_contents,74.09421,47.69337,0.37248000000000003,16.17996,0.48785999999999996,3.3088500000000005,0.45942,0.63531,0.15239999999999998,0.65052,1.5440999999999998,145.57848,Acid,133.97064,110.08911,2.88894,56.059110000000004,4.94688,20.26266,1.77099,0,0.85842,1.18554,0,332.03229
138,RCS,21,cecal_contents,102.29226,50.92503000000001,0.44516999999999995,21.008850000000002,0.39885000000000004,3.48627,0.49614,0.33564,0,0.60999,1.05516,181.05336,RCS,82.21644,56.600970000000004,1.0899,40.39812,2.17308,12.8109,1.8776100000000002,0,0.8310000000000001,1.59282,0,199.59084000000001
152,Acid,21,cecal_contents,77.26665,46.28772,0.64485,15.63084,0.85293,2.2397099999999996,0.40296,0,0.2718,0.32177999999999995,0.64983,144.56907,Acid,123.68364,101.24022000000001,2.71119,73.48965,4.64025,22.86159,1.0725,0,0.88473,3.19494,0,333.77871
160,control,21,cecal_contents,86.81627999999999,41.13531,0.55281,23.28138,0.55545,3.0015,1.2659699999999998,0.25751999999999997,0.17292,1.12953,0.29871000000000003,158.46738,control,125.61165,82.65726000000001,3.8078700000000003,71.33517,6.318239999999999,18.026220000000002,4.18248,0,1.33278,2.2866,0,315.55827
175,RCS,21,cecal_contents,69.66522,39.290760000000006,0.54084,18.029400000000003,0.8203799999999999,4.3110599999999994,0.59463,0.26826,0.26549999999999996,1.1034899999999999,1.00935,135.89889,RCS,142.21197,120.17061000000001,2.48007,61.186350000000004,4.35624,27.371700000000004,2.31792,0.42786,0.46814999999999996,1.07061,0,362.06148
178,Acid,21,cecal_contents,74.52941999999999,41.17326,0.7637100000000001,20.63277,0.7283999999999999,4.74123,0.7584000000000001,0.30639,0.18858,0.8269500000000001,1.2937500000000002,145.94286,Acid,140.29488,106.85130000000001,2.72376,66.07287,4.3338,24.95379,4.10304,0,0.93063,1.84098,0,352.10505
181,RPS,21,cecal_contents,74.67276000000001,27.43173,0.55941,26.147640000000003,0.47106,5.154,0.8010300000000001,0.41424000000000005,0.15684,0.6237900000000001,1.17027,137.60277,RPS,137.61360000000002,77.94846,3.2248799999999997,65.63691,5.00412,20.97009,4.34373,0,0.94182,1.8294000000000001,0,317.51301
191,control,21,cecal_contents,75.39519,54.43812,0.5015999999999999,13.30953,0.50778,3.7089600000000003,0.50676,0.29286,0.11397000000000002,0.30039,0.66726,149.74242,control,121.27122,101.25402,2.49564,31.50786,4.0532699999999995,16.92579,1.5852899999999999,0,0.94272,1.91418,0,281.94998999999996
198,RCS,21,cecal_contents,72.11988,36.81267,0.6715800000000001,14.459220000000002,0.8115299999999999,2.87376,0.45003000000000004,0.2784,0.15645,0.7902899999999999,1.16934,130.59315,RCS,137.84328,111.62424000000001,3.3636,76.38405,5.8697099999999995,29.348910000000004,1.8782999999999999,0,0.8349900000000001,2.02002,0,369.1671
211,Acid,21,cecal_contents,79.73277,44.80386,0.49881,19.855620000000002,0.53034,2.47827,0.46095,0.29367,0,0.72738,0.35126999999999997,149.73294,Acid,114.62448,92.98464,2.94564,64.35999000000001,4.57509,14.00892,1.32639,0,0.99633,1.2936299999999998,0,297.11511
224,control,21,cecal_contents,87.36972,43.18929,0.69525,16.131300000000003,0.71085,1.82016,0.68118,0.46176,0.20616,0.8474999999999999,1.2915,153.40467,control,146.1276,107.10249000000002,4.3438799999999995,62.613839999999996,7.489320000000001,15.67194,1.43241,0,1.58583,0.9315,0,347.29881
244,RPS,21,cecal_contents,83.47251,41.962019999999995,0.57555,14.92482,0.45222000000000007,2.95992,0.56292,0.21744000000000002,0.18195,0.39216,3.2244,148.92591,RPS,142.93128000000002,97.92905999999999,3.2278199999999995,52.65222,5.32221,22.23192,2.89863,0,1.08921,2.54076,0,330.82311000000004
321,RPS,21,cecal_contents,87.04902,48.41664,0.43479,25.37148,0.43029,6.39942,1.0167,0.44742,0.2097,0.5962799999999999,0.69072,171.06246,RPS,147.06333,105.68943,3.67875,66.99033,6.34368,36.45492,4.62399,0,0.53082,1.6445100000000001,0,373.01976
337,control,21,cecal_contents,76.08312,42.21171,0.7916099999999999,15.97935,0.70179,3.6781500000000005,0.49868999999999997,0.31422,0.24347999999999997,1.0201799999999999,0.8052299999999999,142.32753,control,155.69171999999998,123.73329000000001,3.72567,58.3263,5.9043600000000005,23.67261,1.51266,0.27363,0.92805,2.51781,0,376.2861
345,control,21,cecal_contents,82.73337000000001,51.462869999999995,0.48203999999999997,17.604570000000002,0.5369700000000001,3.2481599999999995,0.47661000000000003,0.22071,0.16326000000000002,0.63564,0,157.5642,control,131.02062,106.63560000000001,2.75367,49.0257,4.50465,21.0987,2.04726,0.21416999999999997,0.8110200000000001,2.5863,0,320.69769
348,Acid,21,cecal_contents,69.38283,36.2766,0.30962999999999996,9.461939999999998,0.36117,1.26024,0.45465,0.38535,0.15039,0.70668,1.39881,120.14829,Acid,139.19391000000002,109.77849,1.78584,49.380810000000004,2.9842199999999997,25.329569999999997,0.5879399999999999,0,0.48066,0,0,329.52144
355,RPS,21,cecal_contents,79.22685,48.513450000000006,0.44865,25.71651,0.48878999999999995,4.85379,0.7775400000000001,0.30479999999999996,0.27078,0.73128,0.35964,161.69208,RPS,119.16212999999999,104.30874,3.08217,64.56225,5.49507,31.48314,3.89967,0.27585000000000004,0.86151,1.81683,0,334.94736
361,Acid,21,cecal_contents,67.17887999999999,41.060249999999996,0.65823,19.79112,0.67644,4.51206,0.48363,0,0.17457,0.36941999999999997,0.50142,135.40602,Acid,134.4786,108.22446000000001,3.0692399999999997,65.14218,5.25951,27.63084,2.28747,0,0.8056800000000001,0.50034,0.45846000000000003,347.85677999999996
373,RPS,21,cecal_contents,85.15593,42.89112,0.3474,28.51692,0.34137,7.01178,0.75759,0.35814,0.25299,0.64848,1.03158,167.31330000000003,RPS,164.80311,102.11798999999999,2.98116,84.99654000000001,5.57679,37.10451,2.81193,0.22802999999999998,0.67608,2.6206199999999997,0,403.91676000000007
378,Acid,21,cecal_contents,74.35233,49.6227,0.30657,23.13504,0.30219,7.72587,1.0722900000000002,0.24992999999999999,0.14853,0.8328300000000001,0,157.74828,Acid,125.60166000000001,123.98883000000001,1.85616,56.445719999999994,3.1033799999999996,25.70661,4.11165,0,0.51498,1.5693000000000001,0,342.89829
392,RPS,21,cecal_contents,68.50779,38.63922,0.56166,27.47772,0.71649,9.711929999999999,1.6179000000000001,0.26991,0.24861,0.8616,1.01301,149.62584,RPS,132.90246000000002,108.85833,2.25045,57.52299000000001,3.59544,33.10392,9.67041,0,0.61254,1.78476,0,350.30129999999997
