Pen,Diet,Pig,Gender,"10/10/2017 BW, kg",Where
2,10,10,G,14.25,HARVEST
5,9,23,G,10.55,HARVEST
6,6,28,B,9.50,HARVEST
7,2,33,B,9.45,HARVEST
9,9,45,B,16.70,HARVEST
10,3,47,B,9.00,HARVEST
11,6,51,B,17.30,HARVEST
13,9,62,B,10.35,HARVEST
14,2,66,B,14.75,HARVEST
15,8,75,B,15.75,HARVEST
16,1,78,B,15.55,HARVEST
17,8,81,B,15.25,HARVEST
18,1,90,G,14.20,HARVEST
19,3,95,B,12.40,HARVEST
20,3,99,B,11.65,HARVEST
21,3,103,G,7.35,HARVEST
23,2,114,B,10.65,HARVEST
24,9,116,G,15.05,HARVEST
25,1,125,G,15.25,HARVEST
26,6,128,B,10.15,HARVEST
28,9,139,B,17.25,HARVEST
29,10,145,B,13.00,HARVEST
31,6,153,B,17.20,HARVEST
32,1,156,B,16.40,HARVEST
35,9,172,B,17.80,HARVEST
36,6,176,B,15.95,HARVEST
37,3,185,B,13.45,HARVEST
39,1,195,G,15.85,HARVEST
40,9,197,B,16.00,HARVEST
43,6,212,B,14.65,HARVEST
44,8,218,B,16.25,HARVEST
45,1,222,B,16.80,HARVEST
46,10,227,G,20.75,HARVEST
47,2,234,B,14.90,HARVEST
48,10,239,B,15.00,HARVEST
49,3,242,B,12.05,HARVEST
51,10,252,B,13.30,HARVEST
52,2,259,B,15.85,HARVEST
53,8,261,B,15.85,HARVEST
57,2,284,B,16.15,HARVEST
59,8,292,B,16.90,HARVEST
63,2,315,G,11.25,HARVEST
65,3,325,B,14.70,HARVEST
66,8,330,B,15.55,HARVEST
68,1,336,G,12.65,HARVEST
69,1,344,B,12.45,HARVEST
70,6,346,G,21.05,HARVEST
71,3,353,G,13.20,HARVEST
72,2,360,B,17.25,HARVEST
73,6,362,G,15.90,HARVEST
75,3,375,G,11.25,HARVEST
76,6,376,G,13.10,HARVEST
79,3,394,B,13.80,HARVEST
80,9,399,B,16.85,HARVEST
83,2,413,B,14.70,HARVEST
84,1,416,B,14.95,HARVEST
85,8,425,G,12.45,HARVEST
86,6,427,B,15.85,HARVEST
87,8,435,B,17.95,HARVEST
89,2,443,B,14.85,HARVEST
90,8,446,B,17.60,HARVEST
91,9,452,B,9.55,HARVEST
92,1,456,B,19.35,HARVEST
93,10,465,G,13.10,HARVEST
94,9,468,B,19.60,HARVEST
95,8,473,G,10.85,HARVEST
