pen,diet,pig,gender,birth_weight
2,10,10,G,14.25
5,9,23,G,10.55
6,6,28,B,9.50
7,2,33,B,9.45
9,9,45,B,16.70
10,3,47,B,9.00
11,6,51,B,17.30
13,9,62,B,10.35
14,2,66,B,14.75
15,8,75,B,15.75
16,1,78,B,15.55
17,8,81,B,15.25
18,1,90,G,14.20
19,3,95,B,12.40
20,3,99,B,11.65
21,3,103/NT,G,7.35
23,2,114,B,10.65
24,9,116,G,15.05
25,1,125,G,15.25
26,6,128,B,10.15
28,9,139,B,17.25
29,10,145,B,13.00
31,6,153,B,17.20
32,1,156,B,16.40
35,9,172,B,17.80
36,6,176,B,15.95
37,3,185,B,13.45
39,1,195,G,15.85
40,9,197,B,16.00
43,6,212,B,14.65
44,8,218,B,16.25
45,1,222,B,16.80
46,10,227,G,20.75
47,2,234,B,14.90
48,10,239,B,15.00
49,3,242,B,12.05
51,10,252,B,13.30
52,2,259,B,15.85
53,8,261,B,15.85
57,2,284,B,16.15
59,8,292,B,16.90
63,2,315,G,11.25
65,3,325,B,14.70
66,8,330,B,15.55
68,1,336,G,12.65
69,1,344,B,12.45
70,6,346,G,21.05
71,3,353,G,13.20
72,2,360,B,17.25
73,6,362,G,15.90
75,3,375,G,11.25
76,6,376,G,13.10
79,3,394,B,13.80
80,9,399,B,16.85
83,2,413,B,14.70
84,1,416,B,14.95
85,8,425,G,12.45
86,6,427,B,15.85
87,8,435,B,17.95
89,2,443,B,14.85
90,8,446,B,17.60
91,9,452,B,9.55
92,1,456,B,19.35
93,10,465,G,13.10
94,9,468,B,19.60
95,8,473,G,10.85
