96_well,well,pen,pig
A1,1,,265
B1,2,,138
C1,3,,141
D1,4,,191
E1,5,,458
F1,6,,74
G1,7,,326
H1,8,,52
A11,9,,126
A12,10,,119
A2,11,,178
B2,12,,295
C2,13,,112
D2,14,,392
E2,15,,52
F2,16,,458
G2,17,,422
H2,18,,26
B11,19,,469
B12,20,,348
A3,21,,253
B3,22,,228
C3,23,,422
D3,24,,373
E3,25,,337
F3,26,,419
G3,27,,160
H3,28,,178
C11,29,,198
C12,30,,6
A4,31,,426
B4,32,,175
C4,33,,355
D4,34,,321
E4,35,,93
F4,36,,345
G4,37,,122
H4,38,,321
D11,39,,101
D12,40,,219
A5,41,,22
B5,42,,397
C5,43,,160
D5,44,,181
E5,45,,224
F5,46,,337
G5,47,,87
H5,48,,244
E11,49,,219
E12,50,,83
A6,51,,43
B6,52,,326
C6,53,,141
D6,54,,378
E6,55,,74
F6,56,,224
G6,57,,77
H6,58,,373
F11,59,,472
F12,60,,295
A7,61,,65
B7,62,,226
C7,63,,87
D7,64,,244
E7,65,,83
F7,66,,191
G7,67,,426
H7,68,,101
G11,69,,378
G12,70,,211
A8,71,,152
B8,72,,144
C8,73,,432
D8,74,,211
E8,75,,237
F8,76,,432
G8,77,,361
H8,78,,392
H11,79,,355
H12,80,,93
A9,81,,461
B9,82,,50
C9,83,,361
D9,84,,450
E9,85,,26
F9,86,,450
G9,87,,348
H9,88,,97
,89,,
,90,,
A10,91,,453
B10,92,,240
C10,93,,419
D10,94,,97
E10,95,,472
F10,96,,265
G10,97,,152
H10,98,,50
,99,,
,100,,
A1,101,,8
B1,102,,397
C1,103,,348
D1,104,,219
E1,105,,181
F1,106,,461
G1,107,,469
H1,108,,52
A11,109,,138
A12,110,,65
A2,111,,228
B2,112,,198
C2,113,,211
D2,114,,326
E2,115,,93
F2,116,,8
G2,117,,77
H2,118,,211
B11,119,,77
B12,120,,419
A3,121,,226
B3,122,,43
C3,123,,178
D3,124,,265
E3,125,,373
F3,126,,253
G3,127,,87
H3,128,,126
C11,129,,472
C12,130,,74
A4,131,,237
B4,132,,224
C4,133,,152
D4,134,,432
E4,135,,392
F4,136,,141
G4,137,,122
H4,138,,348
D11,139,,97
D12,140,,355
A5,141,,144
B5,142,,191
C5,143,,126
D5,144,,295
E5,145,,101
F5,146,,22
G5,147,,160
H5,148,,152
E11,149,,226
E12,150,,237
A6,151,,461
B6,152,,122
C6,153,,52
D6,154,,422
E6,155,,244
F6,156,,43
G6,157,,191
H6,158,,178
F11,159,,198
F12,160,,453
A7,161,,240
B7,162,,345
C7,163,,26
D7,164,,83
E7,165,,144
F7,166,,65
G7,167,,224
H7,168,,378
G11,169,,419
G12,170,,26
A8,171,,6
B8,172,,160
C8,173,,426
D8,174,,450
E8,175,,6
F8,176,,119
G8,177,,337
H8,178,,361
H11,179,,265
H12,180,,219
A9,181,,119
B9,182,,87
C9,183,,378
D9,184,,50
E9,185,,228
F9,186,,138
G9,187,,345
H9,188,,426
,189,,
,190,,
A10,191,,22
B10,192,,458
C10,193,,361
D10,194,,321
E10,195,,240
F10,196,,175
G10,197,,458
H10,198,,472
,199,,
,200,,
