96_well,well,pen,pig,day,substrate
A1,1,,265,0,adglu
B1,2,,138,0,adglu
C1,3,,141,0,adglu
D1,4,,191,0,adglu
E1,5,,458,0,adglu
F1,6,,74,2,adglu
G1,7,,326,2,adglu
H1,8,,52,2,adglu
A11,9,,126,0,adglu
A12,10,,119,0,adglu
A2,11,,178,0,adglu
B2,12,,295,0,adglu
C2,13,,122,0,adglu
D2,14,,392,0,adglu
E2,15,,52,0,adglu
F2,16,,458,2,adglu
G2,17,,422,2,adglu
H2,18,,26,2,adglu
B11,19,,469,0,adglu
B12,20,,348,0,adglu
A3,21,,253,0,adglu
B3,22,,228,0,adglu
C3,23,,422,0,adglu
D3,24,,373,0,adglu
E3,25,,337,0,adglu
F3,26,,419,2,adglu
G3,27,,160,2,adglu
H3,28,,178,2,adglu
C11,29,,198,0,adglu
C12,30,,6,0,adglu
A4,31,,426,0,adglu
B4,32,,175,0,adglu
C4,33,,355,0,adglu
D4,34,,321,0,adglu
E4,35,,93,0,adglu
F4,36,,345,2,adglu
G4,37,,122,2,adglu
H4,38,,321,2,adglu
D11,39,,101,0,adglu
D12,40,,219,0,adglu
A5,41,,22,0,adglu
B5,42,,397,0,adglu
C5,43,,160,0,adglu
D5,44,,181,0,adglu
E5,45,,224,0,adglu
F5,46,,337,2,adglu
G5,47,,87,2,adglu
H5,48,,244,2,adglu
E11,49,,219,2,adglu
E12,50,,83,2,adglu
A6,51,,43,0,adglu
B6,52,,326,0,adglu
C6,53,,141,0,adglu
D6,54,,378,0,adglu
E6,55,,74,0,adglu
F6,56,,224,2,adglu
G6,57,,77,2,adglu
H6,58,,373,2,adglu
F11,59,,472,2,adglu
F12,60,,295,2,adglu
A7,61,,65,0,adglu
B7,62,,226,0,adglu
C7,63,,87,0,adglu
D7,64,,244,0,adglu
E7,65,,83,0,adglu
F7,66,,191,2,adglu
G7,67,,426,2,adglu
H7,68,,101,2,adglu
G11,69,,378,2,adglu
G12,70,,211,2,adglu
A8,71,,152,0,adglu
B8,72,,144,0,adglu
C8,73,,432,0,adglu
D8,74,,211,0,adglu
E8,75,,237,0,adglu
F8,76,,432,2,adglu
G8,77,,361,2,adglu
