96_well,well,pen,pig,day,substrate
A1,1,,265,0,bdfuc
B1,2,,138,0,bdfuc
C1,3,,141,0,bdfuc
D1,4,,191,0,bdfuc
E1,5,,458,0,bdfuc
F1,6,,74,2,bdfuc
G1,7,,326,2,bdfuc
H1,8,,52,2,bdfuc
A11,9,,126,0,bdfuc
A12,10,,119,0,bdfuc
A2,11,,178,0,bdfuc
B2,12,,295,0,bdfuc
C2,13,,122,0,bdfuc
D2,14,,392,0,bdfuc
E2,15,,52,0,bdfuc
F2,16,,458,2,bdfuc
G2,17,,422,2,bdfuc
H2,18,,26,2,bdfuc
B11,19,,469,0,bdfuc
B12,20,,348,0,bdfuc
A3,21,,253,0,bdfuc
B3,22,,228,0,bdfuc
C3,23,,422,0,bdfuc
D3,24,,373,0,bdfuc
E3,25,,337,0,bdfuc
F3,26,,419,2,bdfuc
G3,27,,160,2,bdfuc
H3,28,,178,2,bdfuc
C11,29,,198,0,bdfuc
C12,30,,6,0,bdfuc
A4,31,,426,0,bdfuc
B4,32,,175,0,bdfuc
C4,33,,355,0,bdfuc
D4,34,,321,0,bdfuc
E4,35,,93,0,bdfuc
F4,36,,345,2,bdfuc
G4,37,,122,2,bdfuc
H4,38,,321,2,bdfuc
D11,39,,101,0,bdfuc
D12,40,,219,0,bdfuc
A5,41,,22,0,bdfuc
B5,42,,397,0,bdfuc
C5,43,,160,0,bdfuc
D5,44,,181,0,bdfuc
E5,45,,224,0,bdfuc
F5,46,,337,2,bdfuc
G5,47,,87,2,bdfuc
H5,48,,244,2,bdfuc
E11,49,,219,2,bdfuc
E12,50,,83,2,bdfuc
A6,51,,43,0,bdfuc
B6,52,,326,0,bdfuc
C6,53,,141,0,bdfuc
D6,54,,378,0,bdfuc
E6,55,,74,0,bdfuc
F6,56,,224,2,bdfuc
G6,57,,77,2,bdfuc
H6,58,,373,2,bdfuc
F11,59,,472,2,bdfuc
F12,60,,295,2,bdfuc
A7,61,,65,0,bdfuc
B7,62,,226,0,bdfuc
C7,63,,87,0,bdfuc
D7,64,,244,0,bdfuc
E7,65,,83,0,bdfuc
F7,66,,191,2,bdfuc
G7,67,,426,2,bdfuc
H7,68,,101,2,bdfuc
G11,69,,378,2,bdfuc
G12,70,,211,2,bdfuc
A8,71,,152,0,bdfuc
B8,72,,144,0,bdfuc
C8,73,,432,0,bdfuc
D8,74,,211,0,bdfuc
E8,75,,237,0,bdfuc
F8,76,,432,2,bdfuc
G8,77,,361,2,bdfuc
H8,78,,392,2,bdfuc
H11,79,,355,2,bdfuc
H12,80,,93,2,bdfuc
A9,81,,461,0,bdfuc
B9,82,,50,0,bdfuc
C9,83,,361,0,bdfuc
D9,84,,450,0,bdfuc
E9,85,,26,0,bdfuc
F9,86,,450,2,bdfuc
G9,87,,348,2,bdfuc
H9,88,,97,2,bdfuc
,89,,,,bdfuc
,90,,,,bdfuc
A10,91,,453,0,bdfuc
B10,92,,240,0,bdfuc
C10,93,,419,0,bdfuc
D10,94,,97,0,bdfuc
E10,95,,472,0,bdfuc
F10,96,,265,2,bdfuc
G10,97,,152,2,bdfuc
H10,98,,50,2,bdfuc
,99,,,,bdfuc
,100,,,,bdfuc
A1,101,,265,0,adgalac
B1,102,,138,0,adgalac
C1,103,,141,0,adgalac
D1,104,,191,0,adgalac
E1,105,,458,0,adgalac
F1,106,,74,2,adgalac
G1,107,,326,2,adgalac
H1,108,,52,2,adgalac
A11,109,,126,0,adgalac
A12,110,,119,0,adgalac
A2,111,,178,0,adgalac
B2,112,,295,0,adgalac
C2,113,,122,0,adgalac
D2,114,,392,0,adgalac
E2,115,,52,0,adgalac
F2,116,,458,2,adgalac
G2,117,,422,2,adgalac
H2,118,,26,2,adgalac
B11,119,,469,0,adgalac
B12,120,,348,0,adgalac
A3,121,,253,0,adgalac
B3,122,,228,0,adgalac
C3,123,,422,0,adgalac
D3,124,,373,0,adgalac
E3,125,,337,0,adgalac
F3,126,,419,2,adgalac
G3,127,,160,2,adgalac
H3,128,,178,2,adgalac
C11,129,,198,0,adgalac
C12,130,,6,0,adgalac
A4,131,,426,0,adgalac
B4,132,,175,0,adgalac
C4,133,,355,0,adgalac
D4,134,,321,0,adgalac
E4,135,,93,0,adgalac
F4,136,,345,2,adgalac
G4,137,,122,2,adgalac
H4,138,,321,2,adgalac
D11,139,,101,0,adgalac
D12,140,,219,0,adgalac
A5,141,,22,0,adgalac
B5,142,,397,0,adgalac
C5,143,,160,0,adgalac
D5,144,,181,0,adgalac
E5,145,,224,0,adgalac
F5,146,,337,2,adgalac
G5,147,,87,2,adgalac
H5,148,,244,2,adgalac
E11,149,,219,2,adgalac
E12,150,,83,2,adgalac
A6,151,,43,0,adgalac
B6,152,,326,0,adgalac
C6,153,,141,0,adgalac
D6,154,,378,0,adgalac
E6,155,,74,0,adgalac
F6,156,,224,2,adgalac
G6,157,,77,2,adgalac
H6,158,,373,2,adgalac
F11,159,,472,2,adgalac
F12,160,,295,2,adgalac
A7,161,,65,0,adgalac
B7,162,,226,0,adgalac
C7,163,,87,0,adgalac
D7,164,,244,0,adgalac
E7,165,,83,0,adgalac
F7,166,,191,2,adgalac
G7,167,,426,2,adgalac
H7,168,,101,2,adgalac
G11,169,,378,2,adgalac
G12,170,,211,2,adgalac
A8,171,,152,0,adgalac
B8,172,,144,0,adgalac
C8,173,,432,0,adgalac
D8,174,,211,0,adgalac
E8,175,,237,0,adgalac
F8,176,,432,2,adgalac
G8,177,,361,2,adgalac
H8,178,,392,2,adgalac
H11,179,,355,2,adgalac
H12,180,,93,2,adgalac
A9,181,,461,0,adgalac
B9,182,,50,0,adgalac
C9,183,,361,0,adgalac
D9,184,,450,0,adgalac
E9,185,,26,0,adgalac
F9,186,,450,2,adgalac
G9,187,,348,2,adgalac
H9,188,,97,2,adgalac
,189,,,,adgalac
,190,,,,adgalac
A10,191,,453,0,adgalac
B10,192,,240,0,adgalac
C10,193,,419,0,adgalac
D10,194,,97,0,adgalac
E10,195,,472,0,adgalac
F10,196,,265,2,adgalac
G10,197,,152,2,adgalac
H10,198,,50,2,adgalac
,199,,,,adgalac
,200,,,,adgalac
